,Source file,DateTime,Date,Time,Duration(s),Comments,Pyrite Type,Texture,Generation,Reef,Mg25,Mg25 Int2SE,Mg25 LOD,Al27,Al27 Int2SE,Al27 LOD,Si29,Si29 Int2SE,Si29 LOD,P31,P31 Int2SE,P31 LOD,S33,S33 Int2SE,S33 LOD,S34,S34 Int2SE,S34 LOD,K39,K39 Int2SE,K39 LOD,Ca43,Ca43 Int2SE,Ca43 LOD,Ti49,Ti49 Int2SE,Ti49 LOD,V51,V51 Int2SE,V51 LOD,Cr53,Cr53 Int2SE,Cr53 LOD,Mn55,Mn55 Int2SE,Mn55 LOD,Co59,Co59 Int2SE,Co59 LOD,Ni60,Ni60 Int2SE,Ni60 LOD,Cu65,Cu65 Int2SE,Cu65 LOD,Zn66,Zn66 Int2SE,Zn66 LOD,Ga71,Ga71 Int2SE,Ga71 LOD,Ge74,Ge74 Int2SE,Ge74 LOD,As75,As75 Int2SE,As75 LOD,Se77,Se77 Int2SE,Se77 LOD,Se82,Se82 Int2SE,Se82 LOD,Sr88,Sr88 Int2SE,Sr88 LOD,Zr90,Zr90 Int2SE,Zr90 LOD,Mo95,Mo95 Int2SE,Mo95 LOD,Ag107,Ag107 Int2SE,Ag107 LOD,Cd111,Cd111 Int2SE,Cd111 LOD,In115,In115 Int2SE,In115 LOD,Sn118,Sn118 Int2SE,Sn118 LOD,Sb121,Sb121 Int2SE,Sb121 LOD,Te125,Te125 Int2SE,Te125 LOD,Ba137,Ba137 Int2SE,Ba137 LOD,Ta181,Ta181 Int2SE,Ta181 LOD,W182,W182 Int2SE,W182 LOD,Pt195,Pt195 Int2SE,Pt195 LOD,Au197,Au197 Int2SE,Au197 LOD,Hg202,Hg202 Int2SE,Hg202 LOD,Tl205,Tl205 Int2SE,Tl205 LOD,Pb206,Pb206 Int2SE,Pb206 LOD,Pb207,Pb207 Int2SE,Pb207 LOD,Pb208,Pb208 Int2SE,Pb208 LOD,Bi209,Bi209 Int2SE,Bi209 LOD,Th232,Th232 Int2SE,Th232 LOD,U238,U238 Int2SE,U238 LOD,Ni61,Ni61 Int2SE,Ni61 LOD
11,JBA-03 6.d,26/06/2015 (6) 16:13:49.78,26/06/2015 (6),0.676270602,36.482,"JBA-03 6.d, 4:13:50 PM (36.5 sec)",Rounded massive (core),Rounded,Detrital,SPC,NA,0.11,0.36913,0.56,0.15,0.27367,525,71,164.98,NA,NA,NA,NA,NA,NA,540000,31000,24824,NA,NA,NA,153,48,102.71,13.5,1.4,1.416,0.026,0.017,0.022243,NA,0.11,0.21665,NA,0.18,0.57905,6.73,0.46,0.13627,13.1,1.1,0.83084,0.31,0.21,0.3098,NA,0.055,0.17752,NA,NA,NA,NA,NA,NA,227,15,11.682,19.8,2.5,2.1194,19,2.6,3.6973,NA,NA,NA,NA,NA,NA,NA,0.00051,0,NA,0.0073,0.012251,NA,0.0025,0.094012,NA,NA,NA,NA,0.2,0.49068,0.321,0.061,0.091828,0.63,0.23,0.47049,NA,NA,NA,NA,0.00021,0.0055092,0.000994,9.40E-05,0,NA,0.0016,0.020713,NA,0.0057,0.29765,0.128,0.032,0.058871,NA,0.0064,0.031973,NA,NA,NA,NA,NA,NA,1.81,0.32,0.27399,0.406,0.051,0.066742,NA,NA,NA,NA,7.70E-05,0.0043553,9.1,1.8,0
12,JBA-03 7.d,26/06/2015 (6) 16:17:02.78,26/06/2015 (6),0.678504398,32.392,"JBA-03 7.d, 4:17:03 PM (32.38 sec)",Pyrite rim (overgrowth),Overgrowth,Epigenetic,SPC,16.3,8.3,0.54057,52,20,0.24346,676,94,115.23,NA,NA,NA,NA,NA,NA,513000,26000,21702,NA,NA,NA,130,57,94.868,12.1,1.7,0.99711,0.118,0.042,0.023855,29,12,0.15918,NA,0.26,0.40855,2306,94,0.40769,443,21,0.43245,1.06,0.3,0.21588,0.66,0.31,0.14046,NA,NA,NA,NA,NA,NA,1306,44,9.1743,25.2,2.4,1.5854,23.1,2.4,2.3899,NA,NA,NA,NA,NA,NA,NA,0.003,0.068534,0.023,0.011,0.016283,NA,0.0025,0.1733,NA,NA,NA,NA,0.16,1.0916,1.24,0.2,0.075328,0.69,0.33,0.50751,NA,NA,NA,NA,0.00019,0,0.000847,8.30E-05,0,0.0023,0.0057,0,0.079,0.024,0.0092138,0.135,0.025,0.064407,NA,0.0072,0.030913,NA,NA,NA,NA,NA,NA,4.47,0.72,0.014144,1.84,0.32,0.012183,NA,NA,NA,2.9,1.8,0.0045669,346,23,1.2484
13,JBA-03 8.d,26/06/2015 (6) 16:20:01.28,26/06/2015 (6),0.68057037,26.075,"JBA-03 8.d, 4:20:01 PM (26.07 sec)_rutile ablation",Euhedral overgrowth,Overgrowth,Epigenetic,SPC,308,98,0.43191,1160,380,3.5799,2430,450,205.81,NA,NA,NA,NA,NA,NA,494000,24000,54853,NA,NA,NA,NA,56,104.45,103,65,1.6428,3.38,0.71,0.01776,560,120,0.68161,2.6,1.1,0.58508,1590,120,153.98,672,68,22.723,3.19,0.84,0.2881,6.4,2.1,0.10697,NA,NA,NA,NA,NA,NA,824,36,85.303,28,2.7,1.6111,24.6,2.7,3.0673,NA,NA,NA,NA,NA,NA,0.55,0.18,0.018521,0.101,0.027,0.022462,NA,0.023,0.095721,NA,NA,NA,NA,0.18,0.46878,2.34,0.19,0.10667,NA,0.19,0.51521,NA,NA,NA,1.5,1,0,0.148,0.089,0,NA,0.00024,0.025925,0.89,0.21,0.012451,0.164,0.049,0.059335,NA,0.018,0.038667,NA,NA,NA,NA,NA,NA,8.7,1.1,0.28488,3.18,0.27,0.17003,NA,NA,NA,1.47,0.85,0.0058283,518,49,15.139
14,JBA-03 9.d,26/06/2015 (6) 16:22:15.27,26/06/2015 (6),0.682121181,37.587,"JBA-03 9.d, 4:22:15 PM (37.58 sec)",Rounded massive (core),Rounded,Detrital,SPC,NA,0.44,2.7932,NA,5.9,130.77,NA,89,5674.8,NA,NA,NA,NA,NA,NA,546000,26000,7213.5,NA,NA,NA,4600,1800,109.67,NA,3,9367.7,NA,0.087,3.685,NA,10,172.82,1.02,0.34,0.64474,360,160,8.3161,129,50,1.3002,0.84,0.23,0.33818,NA,0.44,1.1258,NA,NA,NA,NA,NA,NA,260,110,6.2055,28.6,3.2,1.3488,29.8,3.1,2.6649,NA,NA,NA,NA,NA,NA,NA,0.015,0.32261,0.022,0.013,0.020055,NA,0.0027,0,NA,NA,NA,NA,0.16,0.8983,0.81,0.27,0.10553,NA,0.21,0.62955,NA,NA,NA,NA,0.038,88.497,NA,7.20E-05,7.1865,NA,0.0061,0.0092596,NA,0.018,0.15301,0.1,0.035,0.065356,NA,0.0072,0.035226,NA,NA,NA,NA,NA,NA,2.06,0.57,0.10912,1.13,0.31,0.15064,NA,NA,NA,NA,0.094,5.461,108,41,2.2364
15,JBA-03 10.d,26/06/2015 (6) 16:30:35.75,26/06/2015 (6),0.687913773,24.336,"JBA-03 10.d, 4:30:36 PM (24.33 sec)_quartz ablation",Euhedral overgrowth,Overgrowth,Epigenetic,SPC,3.5,1.7,0.50474,NA,5.3,27.167,481,95,198.92,NA,NA,NA,NA,NA,NA,505000,32000,24902,NA,NA,NA,NA,54,118.55,NA,1.8,19.533,NA,0.069,1.1446,NA,11,199.54,1.05,0.41,0.41332,2170,110,101.6,927,65,11.952,2.2,1.5,0.32688,0.95,0.41,0.11126,NA,NA,NA,NA,NA,NA,1202,67,40.27,28,3.6,1.7058,32.9,4.1,2.2832,NA,NA,NA,NA,NA,NA,NA,0.027,0.1595,NA,0.011,0.030568,NA,0.002,0.089102,NA,NA,NA,NA,0.2,0.37631,0.61,0.11,0.087975,NA,0.25,0.52417,NA,NA,NA,NA,0.0022,0.41685,NA,4.40E-05,0.02204,NA,0.0069,0.02426,NA,0.013,0.038575,0.105,0.028,0.07959,0.036,0.017,0.027162,NA,NA,NA,NA,NA,NA,3.5,2.8,0.17438,NA,0.11,29.271,NA,NA,NA,NA,0.052,2.718,698,46,7.2569
16,JBA-03 11.d,26/06/2015 (6) 16:32:44.01,26/06/2015 (6),0.689398264,22.062,"JBA-03 11.d, 4:32:44 PM (22.06 sec)_chromite ablation",Rounded massive (core),Rounded,Detrital,SPC,10,16,0.32939,74,96,1.1398,NA,62,16525,NA,NA,NA,NA,NA,NA,458000,32000,2960.3,NA,NA,NA,80,54,76.039,14,10,0.43143,0.59,0.62,0.031048,39,48,0.16134,NA,0.14,0.34999,204,17,3.5054,172.7,9.6,1.1281,4.8,1.3,0.28931,0.313,0.098,0.086116,NA,NA,NA,NA,NA,NA,173,14,3.6771,1.72,0.72,0.83566,5,1.8,2.562,NA,NA,NA,NA,NA,NA,NA,0.015,0.025449,0.054,0.03,0.016691,NA,0.0017,0.32284,NA,NA,NA,0.44,0.19,0.39901,5.71,0.42,0.074075,1.09,0.3,0.44699,NA,NA,NA,0.03,0.044,0.013838,0.031,0.057,0,NA,0.0029,0.013567,0.127,0.02,0.058193,0.075,0.031,0.046239,0.378,0.086,0.042555,NA,NA,NA,NA,NA,NA,9.65,0.94,0.8983,3.76,0.27,0.024651,NA,NA,NA,0.17,0.18,0.010767,133,10,0.94666
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,JBA-03_1.d,26/11/2015 (5) 11:06:18.84,26/11/2015 (5),0.462718056,39.045,"JBA-03_1.d, 11:06:18 AM (39.0 sec)",Detrital (rounded) massive,Rounded,Detrital,SPC,12.3,5.8,7.0719,313,40,3.9423,880,99,358.02,0.65,0.37,0.23571,7.00E+05,38000,1374.2,666000,30000,447.95,65,13,0.59981,NA,190,721.32,110,36,0.86381,0.77,0.21,0.13823,4.8,1.1,0.94368,NA,0.75,1.308,65.1,6.4,0.085499,105.2,9.2,1.258,3.3,0.86,0.56179,NA,0.2,0.40547,NA,0.066,0.24253,NA,0.21,0.42597,99.3,7.2,1.6756,31.4,4.1,3.928,34.4,4,5.9746,0.4,0.16,0,3.1,1.3,0.21754,NA,0.00012,0.097435,0.223,0.084,0,NA,0.1,0,NA,0.00081,0.019888,NA,0.28,0.85713,6.06,0.8,0.7621,1.83,0.76,1.0318,0.024,0.047,0,0.0022,0.0043,0,0.033,0.047,0,0.0025,0.00021,0,0.258,0.069,0.0204,NA,0.031,0.055036,NA,0.014,0.16615,37.9,4,0,36.7,4.2,0,32.3,3.1,0.099496,8.8,1,0.11173,NA,6.00E-04,0,0.047,0.041,0,NA,NA,NA
19,JBA-03_2.d,26/11/2015 (5) 11:07:59.88,26/11/2015 (5),0.4638875,39.026,"JBA-03_2.d, 11:07:59 AM (39.0 sec)",Euhedral (hydrothermal),Euhedral,Epigenetic,SPC,NA,2.8,10.359,NA,1.1,4.4645,580,130,416.75,1.28,0.27,0.25497,673000,27000,2302.7,644000,24000,472.53,9.9,8,0.55533,NA,210,805.36,19.6,3.7,1.7043,NA,0.022,0.098288,NA,0.18,0.6923,NA,0.55,1.1138,80,26,0.021099,391,49,1.3479,NA,0.17,0.44562,NA,0.24,0.38314,NA,0.069,0.17762,NA,0.21,0.77152,33.4,8.5,1.3632,25.4,3.6,3.7401,28.4,4.4,6.0665,NA,0.021,0.1295,NA,0.0018,0,NA,0.00013,0.21209,NA,0.00098,0.056054,NA,0.23,2.3935,NA,0.013,0.019609,NA,0.23,0.52772,NA,0.32,0.49265,NA,0.27,1.551,NA,1,0.40137,0,1,0,NA,1,0.13196,0.00232,0.00018,0,NA,0.00066,0.020123,NA,0.027,0.07227,NA,0.0012,0.19559,0.59,0.3,0.21479,0.35,0.26,0.22724,0.27,0.12,0.049083,0.33,0.13,0.17879,NA,0.00055,0,0,1,0,NA,NA,NA
20,JBA-03_3.d,26/11/2015 (5) 11:10:03.78,26/11/2015 (5),0.465321528,39.047,"JBA-03_3.d, 11:10:03 AM (39.0 sec)",Inclusion-bearing,Inclusion-bearing,Detrital,SPC,157,52,9.376,132,39,3.0456,890,140,357.59,0.92,0.32,0.34336,694000,33000,2224.3,658000,25000,449.69,25.5,8.7,0.593,NA,230,974.48,48,17,1.7645,0.173,0.099,0.080469,12.2,3.3,0.59641,NA,0.54,1.1871,629,51,0.043723,1817,48,1.342,1.27,0.43,0.51315,0.64,0.38,0.55131,NA,0.097,0.24589,0.52,0.24,0.50894,375,44,1.8048,52.9,5.1,2.8854,56,4.6,7.7631,NA,0.026,0.087141,3.2,2.4,0,0.016,0.025,0,0.96,0.44,0.029057,NA,0.21,1.8003,NA,0.018,0.048334,NA,0.24,0.61528,2.6,0.74,0.60662,3,1,1.3278,NA,1,0.83054,0,1,0,0,1,0,0.00221,0.00018,0,0.106,0.056,0,NA,0.028,0.077401,0.003,0.021,0,220,120,0.11124,166,86,0,145,75,0.12109,18,6,0.036574,0.5,0.18,0,0.24,0.1,0,NA,NA,NA
